[2025-05-12 20:50:38.924] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:07:00.791] [ERROR] Command processing failed: text2video | Data: {"error": "无效的 'command' 参数: text2video。必须是 'submit' 或 'query'。"}
[2025-05-12 21:07:00.791] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: text2video。必须是 'submit' 或 'query'。"}
[2025-05-12 21:08:14.693] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"prompt\":\"A little cat and a little dog happily playing together in a lush green grass field, in an animated cartoon style.\",\"style\":\"animation\"}"}
[2025-05-12 21:08:14.693] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"prompt": "A little cat and a little dog happily playing together in a lush green grass field, in an animated cartoon style.", "style": "animation"}}
[2025-05-12 21:08:14.693] [ERROR] Command processing failed: None | Data: {"error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:08:14.694] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "无效的 'command' 参数: None。必须是 'submit' 或 'query'。"}
[2025-05-12 21:09:38.076] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"submit\",\"mode\":\"t2v\",\"prompt\":\"An animated video of a cute kitten and a puppy playing together on a grassy field, with a sunny sky and colorful flowers around, in a vibrant cartoon style.\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:09:38.076] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "submit", "mode": "t2v", "prompt": "An animated video of a cute kitten and a puppy playing together on a grassy field, with a sunny sky and colorful flowers around, in a vibrant cartoon style.", "resolution": "1280x720"}}
[2025-05-12 21:09:38.076] [INFO] Processing 'submit' command, mode: t2v
[2025-05-12 21:09:38.076] [INFO] Submitting video request to API | Data: {"url": "https://api.siliconflow.cn/v1/video/submit", "model": "Wan-AI/Wan2.1-T2V-14B-Turbo", "image_size": "1280x720", "prompt_length": 156, "has_image": false}
[2025-05-12 21:09:38.228] [ERROR] API request failed (submit) | Data: {"status_code": 401, "response_text": "\"Api key is invalid\"", "error": "401 Client Error: Unauthorized for url: https://api.siliconflow.cn/v1/video/submit"}
[2025-05-12 21:09:38.228] [ERROR] Command processing failed: submit | Data: {"error": "API 请求失败: 401 Client Error: Unauthorized for url: https://api.siliconflow.cn/v1/video/submit"}
[2025-05-12 21:09:38.228] [DEBUG] Output sent to stdout | Data: {"status": "error", "error": "API 请求失败: 401 Client Error: Unauthorized for url: https://api.siliconflow.cn/v1/video/submit"}
[2025-05-12 21:12:45.501] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"submit\",\"mode\":\"t2v\",\"prompt\":\"A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, sunny day, cheerful atmosphere\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:12:45.501] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "submit", "mode": "t2v", "prompt": "A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, sunny day, cheerful atmosphere", "resolution": "1280x720"}}
[2025-05-12 21:12:45.502] [INFO] Processing 'submit' command, mode: t2v
[2025-05-12 21:12:45.502] [INFO] Submitting video request to API | Data: {"url": "https://api.siliconflow.cn/v1/video/submit", "model": "Wan-AI/Wan2.1-T2V-14B-Turbo", "image_size": "1280x720", "prompt_length": 124, "has_image": false}
[2025-05-12 21:12:45.946] [SUCCESS] Video request submitted successfully | Data: {"requestId": "m1zaflcftvrj"}
[2025-05-12 21:12:45.946] [DEBUG] Output sent to stdout | Data: {"status": "success", "result": {"requestId": "m1zaflcftvrj"}, "messageForAI": "任务已成功提交，ID 为 m1zaflcftvrj。请告知用户视频生成需要较长时间，请耐心等待，并稍后使用 query 命令查询结果。"}
[2025-05-12 21:17:01.529] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"submit\",\"mode\":\"t2v\",\"prompt\":\"A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, sunny day.\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:17:01.529] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "submit", "mode": "t2v", "prompt": "A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, sunny day.", "resolution": "1280x720"}}
[2025-05-12 21:17:01.530] [INFO] Processing 'submit' command, mode: t2v
[2025-05-12 21:17:01.530] [INFO] Submitting video request to API | Data: {"url": "https://api.siliconflow.cn/v1/video/submit", "model": "Wan-AI/Wan2.1-T2V-14B-Turbo", "image_size": "1280x720", "prompt_length": 104, "has_image": false}
[2025-05-12 21:17:01.842] [SUCCESS] Video request submitted successfully | Data: {"requestId": "s4ng9o3ie1u2"}
[2025-05-12 21:17:01.843] [DEBUG] Output sent to stdout | Data: {"status": "success", "result": {"requestId": "s4ng9o3ie1u2"}, "messageForAI": "任务已成功提交，ID 为 s4ng9o3ie1u2。请告知用户视频生成需要较长时间，请耐心等待，并稍后使用 query 命令查询结果。"}
[2025-05-12 21:19:33.158] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"submit\",\"mode\":\"t2v\",\"prompt\":\"A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, cheerful and lively atmosphere\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:19:33.158] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "submit", "mode": "t2v", "prompt": "A cute kitten and a puppy playing together on a grassy field, animated style, vibrant colors, cheerful and lively atmosphere", "resolution": "1280x720"}}
[2025-05-12 21:19:33.158] [INFO] Processing 'submit' command, mode: t2v
[2025-05-12 21:19:33.159] [INFO] Submitting video request to API | Data: {"url": "https://api.siliconflow.cn/v1/video/submit", "model": "Wan-AI/Wan2.1-T2V-14B-Turbo", "image_size": "1280x720", "prompt_length": 124, "has_image": false}
[2025-05-12 21:19:33.490] [SUCCESS] Video request submitted successfully | Data: {"requestId": "lnzqfhqiankl"}
[2025-05-12 21:19:33.490] [DEBUG] Output sent to stdout | Data: {"status": "success", "result": {"requestId": "lnzqfhqiankl"}, "messageForAI": "任务已成功提交，ID 为 lnzqfhqiankl。请告知用户视频生成需要较长时间，请耐心等待，并稍后使用 query 命令查询结果。"}
[2025-05-12 21:30:50.120] [DEBUG] [Input Debug] Raw string received from stdin | Data: {"raw_input": "{\"command\":\"submit\",\"mode\":\"t2v\",\"prompt\":\"A cute cat and dog playing together on a sunny grassy field, chasing each other happily, animated style\",\"resolution\":\"1280x720\"}"}
[2025-05-12 21:30:50.120] [DEBUG] [Input Debug] Parsed input data (dictionary) | Data: {"parsed_data": {"command": "submit", "mode": "t2v", "prompt": "A cute cat and dog playing together on a sunny grassy field, chasing each other happily, animated style", "resolution": "1280x720"}}
[2025-05-12 21:30:50.121] [INFO] Processing 'submit' command, mode: t2v
[2025-05-12 21:30:50.121] [INFO] Submitting video request to API | Data: {"url": "https://api.siliconflow.cn/v1/video/submit", "model": "Wan-AI/Wan2.1-T2V-14B-Turbo", "image_size": "1280x720", "prompt_length": 103, "has_image": false}
[2025-05-12 21:30:50.499] [SUCCESS] Video request submitted successfully | Data: {"requestId": "i0ikn1ee5jj6"}
[2025-05-12 21:30:50.499] [DEBUG] Output sent to stdout | Data: {"status": "success", "result": {"requestId": "i0ikn1ee5jj6"}, "messageForAI": "任务已成功提交，ID 为 i0ikn1ee5jj6。请告知用户视频生成需要较长时间，请耐心等待，并稍后使用 query 命令查询结果。"}
